geoid,school_id,school,sat_g11,transit_min_median
17031010702,609755,YOUNG HS,1297.0,71.4
17031020100,609680,PAYTON HS,1334.0,61.7
17031020100,609720,LANE TECH HS,1256.0,40.3
17031020100,609749,NORTHSIDE PREP HS,1303.0,41.2
17031020100,609726,BROOKS HS,1111.0,107.6
17031020100,609694,HANCOCK HS,1078.0,99.9
17031020100,609693,WESTINGHOUSE HS,1005.0,76.7
17031020100,609751,KING HS,939.0,99.7
17031020100,610547,SOUTH SHORE INTL HS,901.0,90.9
17031020100,609678,JONES HS,1276.0,69.0
17031020100,610391,LINDBLOM HS,1046.0,103.3
17031020100,609755,YOUNG HS,1297.0,78.2
17031020200,609749,NORTHSIDE PREP HS,1303.0,28.9
17031020200,609720,LANE TECH HS,1256.0,44.4
17031020200,609680,PAYTON HS,1334.0,64.1
17031020200,609693,WESTINGHOUSE HS,1005.0,70.9
17031020200,609726,BROOKS HS,1111.0,114.3
17031020200,609678,JONES HS,1276.0,69.2
17031020200,610547,SOUTH SHORE INTL HS,901.0,97.3
17031020200,609694,HANCOCK HS,1078.0,101.2
17031020200,609751,KING HS,939.0,100.1
17031020200,610391,LINDBLOM HS,1046.0,107.4
17031020200,609755,YOUNG HS,1297.0,81.8
17031020301,609680,PAYTON HS,1334.0,69.5
17031020301,609720,LANE TECH HS,1256.0,46.9
17031020301,609749,NORTHSIDE PREP HS,1303.0,31.1
17031020301,609693,WESTINGHOUSE HS,1005.0,71.0
17031020301,609694,HANCOCK HS,1078.0,112.3
17031020301,609726,BROOKS HS,1111.0,116.2
17031020301,610547,SOUTH SHORE INTL HS,901.0,99.0
17031020301,609678,JONES HS,1276.0,71.4
17031020301,610391,LINDBLOM HS,1046.0,113.3
17031020301,609751,KING HS,939.0,102.0
17031020301,609755,YOUNG HS,1297.0,86.6
17031020302,609680,PAYTON HS,1334.0,59.6
17031020302,609720,LANE TECH HS,1256.0,38.4
17031020302,609749,NORTHSIDE PREP HS,1303.0,28.1
17031020302,609693,WESTINGHOUSE HS,1005.0,68.0
17031020302,609726,BROOKS HS,1111.0,106.3
17031020302,610391,LINDBLOM HS,1046.0,102.2
17031020302,609694,HANCOCK HS,1078.0,101.0
17031020302,610547,SOUTH SHORE INTL HS,901.0,90.4
17031020302,609751,KING HS,939.0,92.3
17031020302,609678,JONES HS,1276.0,61.7
17031020302,609755,YOUNG HS,1297.0,77.8
17031020400,609678,JONES HS,1276.0,59.3
17031020400,609720,LANE TECH HS,1256.0,38.6
17031020400,609680,PAYTON HS,1334.0,59.2
17031020400,609749,NORTHSIDE PREP HS,1303.0,30.3
17031020400,609726,BROOKS HS,1111.0,105.5
17031020400,609693,WESTINGHOUSE HS,1005.0,70.2
17031020400,609694,HANCOCK HS,1078.0,98.5
17031020400,610547,SOUTH SHORE INTL HS,901.0,88.0
17031020400,609751,KING HS,939.0,89.9
17031020400,610391,LINDBLOM HS,1046.0,102.7
17031020400,609755,YOUNG HS,1297.0,78.3
17031020500,609680,PAYTON HS,1334.0,61.5
17031020500,609720,LANE TECH HS,1256.0,38.6
17031020500,609749,NORTHSIDE PREP HS,1303.0,36.5
17031020500,609678,JONES HS,1276.0,63.6
17031020500,609693,WESTINGHOUSE HS,1005.0,75.0
17031020500,609726,BROOKS HS,1111.0,105.2
17031020500,609751,KING HS,939.0,94.2
17031020500,610547,SOUTH SHORE INTL HS,901.0,89.3
17031020500,609694,HANCOCK HS,1078.0,103.1
17031020500,610391,LINDBLOM HS,1046.0,102.5
17031020500,609755,YOUNG HS,1297.0,78.1
17031020601,609693,WESTINGHOUSE HS,1005.0,67.5
17031020601,609720,LANE TECH HS,1256.0,41.0
17031020601,609680,PAYTON HS,1334.0,68.5
17031020601,609749,NORTHSIDE PREP HS,1303.0,25.5
