geoid,school_id,school,sat_g11,drive_min,drive_mi
17031010701,609726,BROOKS HS,1111.0,39.4,23.72
17031010701,609749,NORTHSIDE PREP HS,1303.0,8.0,3.47
17031010701,609751,KING HS,939.0,29.8,16.09
17031010701,609755,YOUNG HS,1297.0,19.9,9.4
17031010701,610391,LINDBLOM HS,1046.0,33.9,19.36
17031010701,610547,SOUTH SHORE INTL HS,901.0,36.4,21.0
17031010702,609678,JONES HS,1276.0,22.0,11.16
17031010702,609680,PAYTON HS,1334.0,17.3,8.47
17031010702,609693,WESTINGHOUSE HS,1005.0,21.0,10.4
17031010702,609694,HANCOCK HS,1078.0,33.1,16.56
17031010702,609720,LANE TECH HS,1256.0,11.0,5.51
17031010702,609726,BROOKS HS,1111.0,38.8,23.54
17031010702,609749,NORTHSIDE PREP HS,1303.0,8.4,3.95
17031010702,609751,KING HS,939.0,29.2,15.92
17031010702,609755,YOUNG HS,1297.0,19.3,9.23
17031010702,610391,LINDBLOM HS,1046.0,33.3,19.18
17031010702,610547,SOUTH SHORE INTL HS,901.0,35.9,20.83
17031020100,609678,JONES HS,1276.0,23.5,11.77
17031020100,609680,PAYTON HS,1334.0,19.1,9.27
17031020100,609693,WESTINGHOUSE HS,1005.0,21.6,9.95
17031020100,609694,HANCOCK HS,1078.0,34.9,19.44
17031020100,609720,LANE TECH HS,1256.0,10.3,5.07
17031020100,609726,BROOKS HS,1111.0,40.0,24.32
17031020100,609749,NORTHSIDE PREP HS,1303.0,7.5,3.52
17031020100,609751,KING HS,939.0,30.4,16.7
17031020100,609755,YOUNG HS,1297.0,21.0,10.44
17031020100,610391,LINDBLOM HS,1046.0,34.6,19.96
17031020100,610547,SOUTH SHORE INTL HS,901.0,37.1,21.61
17031020200,609678,JONES HS,1276.0,23.1,11.84
17031020200,609680,PAYTON HS,1334.0,18.7,9.39
17031020200,609693,WESTINGHOUSE HS,1005.0,20.9,10.02
17031020200,609694,HANCOCK HS,1078.0,33.5,17.09
17031020200,609720,LANE TECH HS,1256.0,9.9,5.14
17031020200,609726,BROOKS HS,1111.0,39.6,24.39
17031020200,609749,NORTHSIDE PREP HS,1303.0,5.9,2.88
17031020200,609751,KING HS,939.0,30.0,16.77
17031020200,609755,YOUNG HS,1297.0,20.6,10.51
17031020200,610391,LINDBLOM HS,1046.0,34.2,20.04
17031020200,610547,SOUTH SHORE INTL HS,901.0,36.7,21.68
17031020301,609678,JONES HS,1276.0,23.0,11.48
17031020301,609680,PAYTON HS,1334.0,18.6,9.03
17031020301,609693,WESTINGHOUSE HS,1005.0,20.8,9.66
17031020301,609694,HANCOCK HS,1078.0,33.4,16.74
17031020301,609720,LANE TECH HS,1256.0,9.8,4.78
17031020301,609726,BROOKS HS,1111.0,39.5,24.04
17031020301,609749,NORTHSIDE PREP HS,1303.0,5.8,2.52
17031020301,609751,KING HS,939.0,29.9,16.42
17031020301,609755,YOUNG HS,1297.0,20.5,10.16
17031020301,610391,LINDBLOM HS,1046.0,34.1,19.68
17031020301,610547,SOUTH SHORE INTL HS,901.0,36.6,21.33
17031020302,609678,JONES HS,1276.0,22.7,11.37
17031020302,609680,PAYTON HS,1334.0,18.3,8.92
17031020302,609693,WESTINGHOUSE HS,1005.0,20.8,9.76
17031020302,609694,HANCOCK HS,1078.0,33.4,16.83
17031020302,609720,LANE TECH HS,1256.0,9.5,4.67
17031020302,609726,BROOKS HS,1111.0,39.2,23.93
17031020302,609749,NORTHSIDE PREP HS,1303.0,5.8,2.62
17031020302,609751,KING HS,939.0,29.6,16.31
17031020302,609755,YOUNG HS,1297.0,20.2,10.05
17031020302,610391,LINDBLOM HS,1046.0,33.8,19.57
17031020302,610547,SOUTH SHORE INTL HS,901.0,36.3,21.22
17031020400,609678,JONES HS,1276.0,23.0,11.32
17031020400,609680,PAYTON HS,1334.0,18.5,8.82
17031020400,609693,WESTINGHOUSE HS,1005.0,21.1,9.5
17031020400,609694,HANCOCK HS,1078.0,34.3,19.0
17031020400,609720,LANE TECH HS,1256.0,9.8,4.62
17031020400,609726,BROOKS HS,1111.0,39.5,23.88
17031020400,609749,NORTHSIDE PREP HS,1303.0,7.0,3.08
17031020400,609751,KING HS,939.0,29.9,16.26
17031020400,609755,YOUNG HS,1297.0,20.5,10.0
17031020400,610391,LINDBLOM HS,1046.0,34.0,19.52
17031020400,610547,SOUTH SHORE INTL HS,901.0,36.6,21.17
17031020500,609678,JONES HS,1276.0,22.1,10.99
17031020500,609680,PAYTON HS,1334.0,17.3,8.3
17031020500,609693,WESTINGHOUSE HS,1005.0,20.7,9.26
17031020500,609694,HANCOCK HS,1078.0,33.2,16.39
17031020500,609720,LANE TECH HS,1256.0,9.4,4.38
17031020500,609726,BROOKS HS,1111.0,38.8,23.37
17031020500,609749,NORTHSIDE PREP HS,1303.0,6.6,2.84
17031020500,609751,KING HS,939.0,29.2,15.75
17031020500,609755,YOUNG HS,1297.0,19.3,9.06
17031020500,610391,LINDBLOM HS,1046.0,33.4,19.01
